userid,appid,play_hrs
76561197960272283,206440.00,0.00
76561197960272283,214870.00,0.00
76561197960272283,219150.00,2.68
76561197960272283,223220.00,0.00
76561197960272283,211400.00,0.00
76561197960272283,23490.00,0.00
76561197960272283,33520.00,0.00
76561197960272283,33530.00,0.00
76561197960272283,57600.00,0.00
76561197960272283,201790.00,1.05
76561197960272283,224920.00,0.00
76561197960272283,224940.00,0.00
76561197960272283,207040.00,1.65
76561197960272283,20540.00,0.00
76561197960272283,55110.00,0.00
76561197960272283,63800.00,0.00
76561197960272283,214510.00,0.00
76561197960272283,227000.00,1.60
76561197960272283,4570.00,0.00
76561197960272283,113020.00,0.00
76561197960272283,22350.00,0.65
76561197960272283,22450.00,0.00
76561197960272283,65800.00,0.00
76561197960272283,208480.00,20.92
76561197960272283,227220.00,0.00
76561197960272283,220090.00,0.00
76561197960272283,212480.00,0.82
76561197960272283,57690.00,0.00
76561197960272283,230410.00,41.35
76561197960272283,236390.00,0.93
76561197960272283,238260.00,0.35
76561197960272283,238960.00,70.43
76561197960272283,226980.00,2.07
76561197960272283,225260.00,0.00
76561197960272283,218060.00,0.00
76561197960272283,228760.00,0.00
76561197960272283,203160.00,11.18
76561197960272283,232910.00,5.10
76561197960272283,8870.00,0.00
76561197960272283,227080.00,1.63
76561197960272283,57680.00,0.00
76561197960272283,220160.00,1.15
76561197960272283,44350.00,0.60
76561197960272283,224760.00,0.00
76561197960272283,234710.00,0.00
76561197960272283,234190.00,0.00
76561197960272283,215690.00,0.00
76561197960272283,228300.00,1.00
76561197960272283,218620.00,7.82
76561197960272283,236090.00,0.00
76561197960272283,231160.00,0.52
76561197960272283,242920.00,0.00
76561197960272283,233250.00,0.00
76561197960272283,242110.00,0.00
76561197960272283,207140.00,0.00
76561197960272283,368730.00,0.00
76561197960272283,246420.00,0.00
76561197960272283,246740.00,0.00
76561197960272283,247020.00,0.00
76561197960272283,241620.00,0.00
76561197960272283,225080.00,2.78
76561197960272283,239030.00,0.73
76561197960272283,244730.00,0.00
76561197960272283,239070.00,2.70
76561197960272283,248610.00,0.00
76561197960272283,232430.00,0.50
76561197960272283,47790.00,0.00
76561197960272283,47830.00,0.00
76561197960272283,249650.00,0.00
76561197960272283,245280.00,3.12
76561197960272283,225280.00,0.00
76561197960272283,249990.00,1.32
76561197960272283,250260.00,0.00
76561197960272283,250320.00,0.00
76561197960272283,252410.00,0.00
76561197960272283,252950.00,92.72
76561197960272283,243000.00,0.00
76561197960272283,242050.00,8.32
76561197960272283,233130.00,0.00
76561197960272283,255520.00,0.00
76561197960272283,257350.00,0.00
76561197960272283,246580.00,4.23
76561197960272283,255920.00,0.00
76561197960272283,255940.00,0.00
76561197960272283,259550.00,0.00
76561197960272283,259740.00,1.22
76561197960272283,94400.00,0.00
76561197960272283,221910.00,2.00
76561197960272283,260230.00,0.17
76561197960272283,263840.00,0.00
76561197960272283,264340.00,0.00
76561197960272283,264540.00,0.00
76561197960272283,227300.00,0.00
76561197960272283,215530.00,0.00
76561197960272283,34820.00,0.00
76561197960272283,268810.00,0.00
76561197960272283,269050.00,0.00
76561197960272283,235460.00,2.38
76561197960272283,274310.00,0.00
76561197960272283,222880.00,1.10
76561197960272283,275390.00,0.00
76561197960272283,282900.00,0.00
76561197960272283,283180.00,0.00
76561197960272283,284460.00,0.00
76561197960272283,284710.00,0.00
76561197960272283,284770.00,0.00
76561197960272283,284790.00,0.00
76561197960272283,284870.00,0.00
76561197960272283,285350.00,0.00
76561197960272283,228400.00,0.00
76561197960272283,290770.00,0.00
76561197960272283,236430.00,19.00
76561197960272283,202310.00,0.00
76561197960272283,261510.00,0.00
76561197960272283,296050.00,0.00
76561197960272283,298600.00,0.00
76561197960272283,286690.00,0.20
76561197960272283,287390.00,0.00
76561197960272283,302010.00,0.00
76561197960272283,303210.00,1.28
76561197960272283,303430.00,0.52
76561197960272283,63380.00,0.00
76561197960272283,302330.00,0.00
76561197960272283,302340.00,0.00
76561197960272283,302350.00,0.00
76561197960272283,302360.00,0.00
76561197960272283,302370.00,0.00
76561197960272283,312640.00,0.00
76561197960272283,314570.00,0.00
76561197960272283,226320.00,6.85
76561197960272283,319910.00,0.00
76561197960272283,241930.00,7.52
76561197960272283,321040.00,0.60
76561197960272283,330830.00,0.00
76561197960272283,330840.00,0.00
76561197960272283,250900.00,0.97
76561197960272283,304650.00,0.00
76561197960272283,347350.00,0.00
76561197960272283,347360.00,0.00
76561197960272283,347370.00,0.00
76561197960272283,495400.00,0.00
76561197960272283,354650.00,0.00
76561197960272283,350080.00,6.33
76561197960272283,333930.00,4.25
76561197960272283,235540.00,8.92
76561197960272283,359310.00,0.00
76561197960272283,236450.00,0.00
76561197960272283,232090.00,5.68
76561197960272283,232150.00,0.00
76561197960272283,368370.00,3.00
76561197960272283,8980.00,0.00
76561197960272283,345180.00,0.00
76561197960272283,295790.00,0.00
76561197960272283,391540.00,1.12
76561197960272283,253030.00,0.00
76561197960272283,400110.00,0.00
76561197960272283,57300.00,0.00
76561197960272283,15700.00,0.02
76561197960272283,409160.00,0.48
76561197960272283,236110.00,0.00
76561197960272283,411560.00,0.00
76561197960272283,272890.00,0.00
76561197960272283,421740.00,0.00
76561197960272283,427820.00,0.00
76561197960272283,433850.00,58.32
76561197960272283,439700.00,0.00
76561197960272283,236870.00,0.27
76561197960272283,34270.00,0.00
76561197960272283,205230.00,0.00
76561197960272283,205950.00,0.03
76561197960272283,374320.00,79.67
76561197960272283,273350.00,0.00
76561197960272283,440.00,160.68
76561197960272283,570.00,37.20
76561197960272283,630.00,10.90
76561197960272283,17520.00,1.25
76561197960272283,17700.00,0.12
76561197960272283,235780.00,0.23
76561197960272730,10.00,486.12
76561197960272730,20.00,0.00
76561197960272730,30.00,0.00
76561197960272730,40.00,0.00
76561197960272730,50.00,0.00
76561197960272730,60.00,0.00
76561197960272730,70.00,0.02
76561197960272730,130.00,0.00
76561197960272730,80.00,0.00
76561197960272730,100.00,0.00
76561197960272730,300.00,96.28
76561197960272730,4000.00,1492.98
76561197960272730,10090.00,0.10
76561197960272730,15620.00,0.00
76561197960272730,21680.00,0.00
76561197960272730,4560.00,0.00
76561197960272730,9340.00,0.00
76561197960272730,20540.00,0.00
76561197960272730,228200.00,0.00
76561197960272730,32400.00,0.00
76561197960272730,6020.00,0.00
76561197960272730,17450.00,0.00
76561197960272730,40100.00,0.28
76561197960272730,42960.00,0.00
76561197960272730,70300.00,0.00
76561197960272730,42910.00,0.00
76561197960272730,40800.00,0.00
76561197960272730,22000.00,0.00
76561197960272730,42160.00,0.00
76561197960272730,206980.00,0.00
76561197960272730,46500.00,0.00
76561197960272730,9350.00,1.67
76561197960272730,9420.00,20.23
76561197960272730,65300.00,0.00
76561197960272730,203210.00,0.00
76561197960272730,115110.00,0.00
76561197960272730,209370.00,0.00
76561197960272730,32370.00,0.00
76561197960272730,94300.00,0.00
76561197960272730,94303.00,0.00
76561197960272730,40330.00,0.00
76561197960272730,730.00,2712.58
76561197960272730,33600.00,0.00
76561197960272730,72000.00,0.00
76561197960272730,203140.00,0.00
76561197960272730,219950.00,0.00
76561197960272730,4570.00,0.00
76561197960272730,71230.00,0.00
76561197960272730,71240.00,0.00
76561197960272730,71250.00,0.00
76561197960272730,71260.00,0.00
76561197960272730,228260.00,0.00
76561197960272730,47410.00,0.72
76561197960272730,51100.00,0.00
76561197960272730,109600.00,1.45
76561197960272730,113400.00,0.00
76561197960272730,236390.00,0.17
76561197960272730,238960.00,1.40
76561197960272730,265630.00,0.78
76561197960272730,204240.00,0.00
76561197960272730,227480.00,0.00
76561197960272730,57640.00,0.00
76561197960272730,233980.00,0.00
76561197960272730,18490.00,0.00
76561197960272730,268540.00,0.00
76561197960272730,231740.00,0.00
76561197960272730,233250.00,0.45
76561197960272730,95000.00,0.00
76561197960272730,245150.00,0.00
76561197960272730,218820.00,0.00
76561197960272730,247020.00,0.00
76561197960272730,94304.00,0.00
76561197960272730,226720.00,0.00
76561197960272730,219640.00,0.00
76561197960272730,251430.00,0.00
76561197960272730,251870.00,0.00
76561197960272730,251990.00,0.00
76561197960272730,252490.00,15.70
76561197960272730,253030.00,0.00
76561197960272730,255220.00,0.00
76561197960272730,257350.00,6.88
76561197960272730,247000.00,0.00
76561197960272730,235980.00,0.00
76561197960272730,212480.00,0.25
76561197960272730,262150.00,0.00
76561197960272730,281050.00,0.00
76561197960272730,258090.00,0.00
76561197960272730,262300.00,0.00
76561197960272730,264140.00,0.00
76561197960272730,269210.00,0.00
76561197960272730,270310.00,0.00
76561197960272730,272600.00,0.00
76561197960272730,273110.00,0.00
76561197960272730,274310.00,0.00
76561197960272730,222880.00,0.35
76561197960272730,257970.00,0.00
76561197960272730,225840.00,8.30
76561197960272730,235210.00,0.00
76561197960272730,286340.00,0.00
76561197960272730,231430.00,0.00
76561197960272730,261510.00,0.00
76561197960272730,295110.00,124.45
76561197960272730,362300.00,0.00
76561197960272730,433850.00,0.13
76561197960272730,439700.00,0.00
76561197960272730,222900.00,0.88
76561197960272730,302310.00,0.00
76561197960272730,95400.00,0.00
76561197960272730,304930.00,142.37
76561197960272730,224600.00,2.43
76561197960272730,307880.00,20.08
76561197960272730,310080.00,0.00
76561197960272730,244630.00,0.00
76561197960272730,227940.00,0.32
76561197960272730,314010.00,0.00
76561197960272730,316480.00,0.00
76561197960272730,316600.00,0.00
76561197960272730,317710.00,0.00
76561197960272730,320400.00,0.00
76561197960272730,221380.00,6.82
76561197960272730,239140.00,5.52
76561197960272730,305050.00,0.00
76561197960272730,327380.00,0.00
76561197960272730,327640.00,0.17
76561197960272730,328920.00,0.00
76561197960272730,329630.00,0.00
76561197960272730,329650.00,0.00
76561197960272730,215470.00,0.00
76561197960272730,333930.00,0.22
76561197960272730,235620.00,0.00
76561197960272730,236110.00,35.32
76561197960272730,271590.00,17.65
76561197960272730,346110.00,7.00
76561197960272730,407530.00,0.00
76561197960272730,346900.00,0.60
76561197960272730,349580.00,0.00
76561197960272730,349680.00,0.00
76561197960272730,287290.00,0.00
76561197960272730,232090.00,35.07
76561197960272730,232150.00,0.07
76561197960272730,47780.00,0.00
76561197960272730,365590.00,146.60
76561197960272730,524440.00,0.00
76561197960272730,366440.00,5.02
76561197960272730,369200.00,0.00
76561197960272730,386990.00,0.00
76561197960272730,427520.00,1.15
76561197960272730,359550.00,61.30
76561197960272730,434570.00,2.72
76561197960272730,444090.00,0.12
76561197960272730,48000.00,0.70
76561197960272730,402570.00,0.00
76561197960272730,515040.00,0.15
76561197960272730,324810.00,0.00
76561197960272730,539640.00,0.02
76561197960272730,550040.00,0.00
76561197960272730,211.00,0.32
76561197960272730,440.00,660.92
76561197960272730,17520.00,0.65
76561197960273731,10.00,2025.88
76561197960273731,20.00,0.00
76561197960273731,30.00,0.00
76561197960273731,40.00,0.00
76561197960273731,50.00,0.00
76561197960273731,60.00,0.00
76561197960273731,70.00,0.00
76561197960273731,130.00,0.00
76561197960273731,240.00,2019.63
76561197960273731,42700.00,0.00
76561197960273731,42710.00,0.00
76561197960273731,202970.00,0.00
76561197960273731,202990.00,0.25
76561197960273731,212910.00,5.03
76561197960273731,242760.00,0.58
76561197960273731,207140.00,1.72
76561197960273731,266010.00,0.02
76561197960273731,295110.00,5.92
76561197960273731,362300.00,0.00
76561197960273731,433850.00,0.00
76561197960273731,439700.00,0.00
76561197960273731,304930.00,0.00
76561197960273731,238090.00,0.65
76561197960273731,205790.00,0.00
76561197960273731,730.00,2099.93
76561197960273731,252490.00,786.30
76561197960273731,292030.00,0.83
76561197960273731,377160.00,15.70
76561197960273731,389570.00,0.58
76561197960273731,393420.00,20.30
76561197960273731,445900.00,0.00
76561197960273731,413850.00,0.33
76561197960273731,413851.00,0.00
76561197960273731,413852.00,0.00
76561197960273731,413853.00,0.00
76561197960273731,413854.00,0.00
76561197960273731,413855.00,0.00
76561197960273731,413856.00,0.00
76561197960273731,413857.00,0.00
76561197960273731,413858.00,0.00
76561197960273731,413859.00,0.00
76561197960273731,458250.00,0.00
76561197960273731,458260.00,0.00
76561197960273731,458270.00,0.00
76561197960273731,458280.00,0.00
76561197960273731,458300.00,0.00
76561197960273731,458310.00,0.00
76561197960273731,458320.00,0.00
76561197960273731,497810.00,0.00
76561197960273731,497811.00,0.00
76561197960273731,497812.00,0.00
76561197960273731,497813.00,0.00
76561197960273731,585280.00,0.00
76561197960273731,359550.00,24.50
76561197960273731,570.00,4.72
76561197960274912,10.00,0.05
76561197960274912,20.00,0.00
76561197960274912,30.00,0.00
76561197960274912,40.00,0.00
76561197960274912,50.00,0.00
76561197960274912,60.00,0.00
76561197960274912,70.00,0.00
76561197960274912,130.00,0.00
76561197960274912,240.00,1147.10
76561197960274912,300.00,2.10
76561197960274912,320.00,0.00
76561197960274912,340.00,0.00
76561197960274912,220.00,0.53
76561197960274912,360.00,0.00
76561197960274912,380.00,0.00
76561197960274912,400.00,0.07
76561197960274912,420.00,0.00
76561197960274912,500.00,0.00
76561197960274912,17470.00,0.00
76561197960274912,34900.00,0.00
76561197960274912,550.00,34.32
76561197960274912,223530.00,0.00
76561197960274912,620.00,0.13
76561197960274912,48000.00,2.92
76561197960274912,730.00,3892.98
76561197960274912,224260.00,0.00
76561197960274912,245550.00,0.02
76561197960274912,343450.00,0.00
76561197960274912,268050.00,3.10
76561197960274912,57300.00,1.40
76561197960274912,457550.00,0.40
76561197960274912,500500.00,8.65
76561197960274912,418370.00,0.00
76561197960277737,10.00,297.30
76561197960277737,20.00,0.00
76561197960277737,30.00,1051.87
76561197960277737,40.00,0.00
76561197960277737,50.00,0.00
76561197960277737,60.00,0.00
76561197960277737,70.00,0.00
76561197960277737,130.00,0.00
76561197960277737,80.00,0.00
76561197960277737,100.00,0.00
76561197960277737,220.00,0.00
76561197960277737,240.00,0.00
76561197960277737,280.00,0.00
76561197960277737,300.00,0.02
76561197960277737,320.00,0.00
76561197960277737,340.00,0.00
76561197960277737,360.00,0.00
76561197960277737,49520.00,7.63
76561197960277737,730.00,1986.32
76561197960277737,205790.00,0.00
76561197960277737,454350.00,0.53
76561197960277737,440.00,0.27
76561197960277737,570.00,0.13
